"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ibsp"	54.5310548346827	-3.35122434668474	0.578277875103067	-5.79517994889126	6.82479629495416e-09	1.39079598782173e-06
"Id3"	4714.84831265108	-1.44945252760863	0.257315961601278	-5.63296780576178	1.77134535286543e-08	3.42620223167801e-06
"Kcne4"	107.258758362456	-2.46151884493936	0.439262849461473	-5.60374920837748	2.09764158104487e-08	3.81023788885736e-06
"Car12"	26.190206095326	-3.27099663592344	0.583765594977598	-5.60327066902421	2.10344362949539e-08	3.81023788885736e-06
"Ahrr"	139.245737536203	-1.56319475850037	0.27879889877365	-5.60689000342676	2.059944829659e-08	3.81023788885736e-06
"Gpx3"	915.180669139808	-1.82182046319017	0.334735834741966	-5.44256178784841	5.25197344682462e-08	8.68630738770473e-06
"Tsc22d1"	1392.93610070508	-1.18646051444334	0.222303810377426	-5.33711281164714	9.44382863383329e-08	1.50131977485902e-05
"Itga1"	353.111889938549	-1.23941466188757	0.235237363490153	-5.26878317074596	1.37331065758183e-07	2.11786773301674e-05
"Sned1"	879.028397675825	-1.46125032602788	0.277737256555357	-5.26126866863694	1.43064804901626e-07	2.17687407138314e-05
"Gas1"	1114.9114491609	-1.18930362295617	0.226867985852212	-5.24227170479184	1.58611576205768e-07	2.38167803639504e-05
"Cebpa"	90.6823607155124	-1.87837830173358	0.358710269353256	-5.23647763171164	1.63670067420805e-07	2.4257179342938e-05
"Aqp2"	31.2115833315002	-3.05966667638715	0.598220466767672	-5.11461383613177	3.14383449350341e-07	4.27112371903106e-05
"Cilp"	954.657487219049	-1.32386566207969	0.265844797161788	-4.97984416551894	6.36354925458777e-07	8.25236637424496e-05
"Stc1"	389.710030258707	-1.30758831920367	0.263173457429003	-4.9685417822062	6.74582661273221e-07	8.64981722522471e-05
"Slc30a3"	27.1941538450278	-3.78868680815067	0.765925361957726	-4.94654831440323	7.55409848051225e-07	9.57859687328953e-05
"Pgam2"	43.6068188062465	-2.28195715376366	0.46836821730882	-4.8721434747974	1.10393950699206e-06	0.000136936496236885
"Palmd"	34.6271102627951	-2.52172634545481	0.520074051628427	-4.8487832406922	1.24221067016318e-06	0.000150809661360662
"Slc1a3"	376.453629405258	-1.41700824764959	0.292537807433009	-4.84384654443029	1.27349302999997e-06	0.000152905304761424
"St5"	316.553362059213	-1.20743074202266	0.252091813839138	-4.78964677049424	1.67075156945051e-06	0.000190666169105693
"Comp"	3801.57611943209	-3.30843829247922	0.692115323150907	-4.78018356452116	1.75135212532999e-06	0.000197885450042236
"B3gnt8"	21.6196782552102	-2.77828584597581	0.581550986487543	-4.77737276787393	1.77600353189705e-06	0.000198703453980482
"Cks1brt"	44.494109872624	-2.90149537728111	0.611886431535808	-4.74188546720751	2.11738323662682e-06	0.000228047175216678
"Apoe"	79.02549727536	-4.40464291312194	0.935095171340466	-4.71036857864194	2.4726920474792e-06	0.000251949657552077
"Plekhg4"	96.6374804112451	-1.58360891718139	0.339867951270357	-4.65948292936177	3.17004683140726e-06	0.000311867021034652
"Flot1"	159.963458931918	-1.25530775056628	0.271855860509058	-4.61754897693092	3.88299055527022e-06	0.0003755312560741
"Gprin3"	122.462008803452	-1.56449993871475	0.340671916883616	-4.59239479739455	4.38188416182422e-06	0.000413273240121802
"Pparg"	21.0403863822355	-3.35332611464695	0.734995503827705	-4.56237636445872	5.05778774768378e-06	0.000473110440791535
