""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tbc1d8"	1.31384303945486	-2.4404599982788	2.37906230402574	-1.02580751842823	0.304982321482263	1
"Cnot11"	138.61623334187	-0.061097240810386	0.403893992872095	-0.15127048653515	0.879762349677936	1
"Rnf149"	1038.28885779939	-0.10311162554313	0.208981742213425	-0.493400162382729	0.621729867653211	1
"Map4k4"	975.854117173422	0.340567924419455	0.263930033545439	1.29037199686796	0.196921530103343	1
"Il1r2"	14.9300020665337	0.446496342052263	0.851055962585678	0.524638051645533	0.599834829220759	1
"Il1r1"	174.141500532106	-0.395706671327375	0.280438307276109	-1.4110293104065	0.158235971708714	1
"Il1rl2"	98.26161894671	-0.261631451100297	0.351073191671968	-0.745233351069305	0.456130664406392	1
"Il1rl1"	976.938789340414	-0.38268706280489	0.284486478071507	-1.34518542111059	0.178565363047038	1
"Il18rap"	10.8689457311646	-0.451280832267907	0.884952098091245	-0.509949446124005	0.610086879475984	1
"Mfsd9"	18.387738254267	0.0210178226951236	0.709557237499996	0.029621039127409	0.976369285877389	1
"Mrps9"	57.2536694106303	0.493321607674944	0.4663281661857	1.05788507631875	0.290107839736996	1
"Tgfbrap1"	76.9105482763651	-0.0379753136413261	0.421982481582782	-0.0899926307340708	0.928293070889979	1
"AI597479"	56.8299526549664	0.0169167113530495	0.393815120188836	0.0429559721956278	0.96573663053174	1
"Fhl2"	327.604408169608	-0.0753993731928363	0.225717319499265	-0.33404336610103	0.738346834907078	1
"Nck2"	27.8710418855007	-0.254419765884185	0.539885023285617	-0.471248052660998	0.637463607230527	1
"1500015O10Rik"	198.349724096702	-0.0913596852659623	0.290422856913988	-0.314574707503203	0.753084585376418	1
"Uxs1"	232.156227423384	0.0323092018905069	0.280633183189779	0.115129656169911	0.908342353965387	1
"Tpp2"	182.91907238661	-0.236380555194551	0.3112664263515	-0.759415520540646	0.447604032026826	1
"Tex30"	52.2163764763356	-0.504544838237289	0.4414020455882	-1.14305052112966	0.253017615729951	1
"Kdelc1"	116.229651981835	0.0548861366503162	0.321548048032667	0.170693421981962	0.864464835417844	1
"Bivm"	46.7161778969342	-0.0114314748931647	0.43218204050269	-0.0264506014175606	0.97889793415523	1
"Ercc5"	49.0498474658436	-0.321858590652952	0.466730231437485	-0.689603048985403	0.490443849461811	1
"Gulp1"	155.687094918651	0.2712839928547	0.373817308091117	0.72571276659179	0.468014873729783	1
