"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mmp13"	1302.26869040015	-1.7361990225195	0.342484573403506	-5.06942255899495	3.99024449251342e-07	5.5701029223981e-05
"Prkag2"	73.9160641069871	-2.34527857845736	0.466483809214189	-5.0275669425871	4.96742103109899e-07	6.52639332551435e-05
"Tle2"	62.0517681627307	-2.16701482293962	0.432763439868057	-5.0073888487445	5.5173393289718e-07	7.12211383272113e-05
"Rcan2"	223.440071677886	-1.86299451843732	0.374483944426684	-4.97483148787451	6.53044235666279e-07	8.08226396822029e-05
"Acan"	35.1968278938153	-3.40821914132431	0.698285657366173	-4.88083795703264	1.05636016366815e-06	0.00012193849773881
"Susd2"	41.1953387731355	-2.81330531691979	0.579797728344497	-4.85221859173655	1.22087949062499e-06	0.000139587221761457
"Gldn"	154.744629282925	-1.95713155449831	0.403992574012548	-4.8444740829259	1.26947486737625e-06	0.000143774016819357
"Pdp1"	232.773749319377	-1.65948869553985	0.34584781410979	-4.7983206133928	1.60001517392432e-06	0.000175590894308146
"Flot1"	159.963458931918	-1.4609444878128	0.304540479314402	-4.7972095240073	1.60891281748405e-06	0.000175590894308146
"Igf2"	30.6535466167389	-2.87741374851701	0.601688673365892	-4.78223020623031	1.73360978948386e-06	0.000185821299310301
"Il1rn"	13836.3370693044	-1.33196776979296	0.279702597289508	-4.76208581078815	1.91602170463519e-06	0.000201770531264434
"Anpep"	46.9264375051936	-3.13940408817607	0.660995299300869	-4.74951046020538	2.03909650256871e-06	0.000212863943594238
"Draxin"	44.7385608223253	-3.06196156680409	0.64538240885509	-4.74441435773873	2.09110423852266e-06	0.000216411261926418
"Dpt"	67.2150833801468	-2.45660054254412	0.519699895849523	-4.72695985156675	2.27906305032736e-06	0.000231865694230338
"Gas1"	1114.9114491609	-1.17103739179253	0.24919085506941	-4.69935941857234	2.60978798799624e-06	0.000263281552906679
"Mrgprf"	62.1802066838459	-2.17334837499701	0.463859803955738	-4.68535612800024	2.79473558653383e-06	0.000277279344763129
"Prg4"	1318.08074570701	-1.1401352487589	0.244799005147796	-4.65743415938537	3.20174771083112e-06	0.000312495782670956
"Pdlim2"	1601.71577998009	-1.21217674451321	0.261184072722397	-4.64108217579402	3.4658924821473e-06	0.000332864313985427
"Sp7"	63.5312891766619	-2.49984432219912	0.542679687318705	-4.60648220417179	4.09538091801895e-06	0.000390198793022361
"Fgfr3"	34.8676681414278	-3.21824003774132	0.700265352148297	-4.59574363899098	4.31208603986671e-06	0.000403530698829532
"Slc38a4"	22.4550006798413	-4.06320413579034	0.884346597940843	-4.5945833288117	4.33614828396582e-06	0.000403530698829532
"Fbxo2"	44.8277107766857	-2.99518682622316	0.653082751357747	-4.58622865172327	4.51324314289615e-06	0.000413599113973041
"Il17ra"	690.224258263317	-1.26392359278291	0.275527017539556	-4.58729457484674	4.4902689781717e-06	0.000413599113973041
"B3gnt8"	21.6196782552102	-6.88742328396741	1.50348397137846	-4.58097553088825	4.62811997062182e-06	0.000417748723664023
