""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Abhd5"	130.338100533792	-0.665081629435529	0.373888218958095	-1.77882478161226	0.0752684929745268	0.362163630524727
"Dnajc8"	372.775003445425	0.478903069594746	0.269300891632771	1.77831965832403	0.0753513694816721	0.362417143680879
"Lrrc49"	18.6715707845268	-1.2782075349489	0.718878243039716	-1.77805845054387	0.0753942555351802	0.362478188906623
"Sema5a"	37.4244752549369	-1.07380129259913	0.603986902461305	-1.77785526180002	0.0754276295861055	0.362493472050119
"Hax1"	17.8331146249178	1.44889146234513	0.815849763696338	1.77592925415667	0.0757445784643262	0.363871014191371
"Serpine1"	5532.5832969053	0.454076113734841	0.255731547805927	1.77559678354364	0.0757994005415582	0.363988721400562
"Arhgap23"	321.548809141774	-0.522297154290246	0.294210717782539	-1.77524856411347	0.0758568541981429	0.364118966272973
"Srp54b"	294.641324765989	0.512072270296457	0.288575856345658	1.77448064013745	0.0759836816176676	0.36443631554938
"Mex3c"	171.875822719773	0.520280654704316	0.293195135479933	1.77452007807928	0.0759771639849577	0.36443631554938
"Slc10a6"	6.17821440648031	2.4606905739445	1.3872202227633	1.77382836089491	0.0760915454204486	0.364807908455465
"Pon2"	548.114982635008	-0.563774531023768	0.317883271430086	-1.77352689396794	0.0761414395228613	0.364817841302685
"Arhgap33"	6.23471653971426	-2.24740659467153	1.26725214416829	-1.77344864241404	0.0761543948608521	0.364817841302685
"Phf21a"	234.593231782984	-0.491878691943321	0.277427838118051	-1.77299688192797	0.0762292235476479	0.364885099158498
"Cenpn"	26.1133485316332	-1.09955271465342	0.620147532886473	-1.77305021199642	0.0762203869430576	0.364885099158498
"Rmnd1"	9.4210888302098	-1.78079619347125	1.00459962023024	-1.77264271020042	0.0762879297595304	0.365020564672444
"Setdb1"	53.4394244736613	1.15538892235639	0.651871421219097	1.77241843214363	0.0763251243355972	0.365053034919858
"Gprc5a"	24.3442702425848	1.24033403399557	0.700121085737369	1.77159931226646	0.0764610939488625	0.365557719178054
"Sod3"	1362.27660525893	0.464545145363559	0.262280237588593	1.77117860512325	0.0765310058721766	0.365746307920175
"Abhd10"	46.3122269273828	0.842619795746379	0.47581227248712	1.77090807545152	0.076575989256383	0.365815658982442
"Cep250"	20.3758084444116	-1.16152205908843	0.656159334125277	-1.77018293984472	0.0766966703743361	0.366100806299763
"Bet1l"	350.612898325541	0.517479468956513	0.292305030609628	1.7703406194456	0.0766704152706322	0.366100806299763
"Lrmda"	15.6754873453641	1.67421685844069	0.946105067961488	1.76958872236888	0.0767956789158618	0.366364901529544
"Lsm11"	49.18481814897	0.965539515677873	0.545661429629224	1.76948463506749	0.0768130326655446	0.366364901529544
"Tmem9"	121.505908169057	-0.621636746254363	0.351833906311167	-1.76684718301305	0.077253824406836	0.368151811323253
"Paqr7"	59.5987024409431	-1.16448621265652	0.659269913757021	-1.76632694493882	0.0773410135907742	0.368151811323253
"Cyb5b"	786.432266359885	0.506172367548138	0.286488233984892	1.76681729824489	0.0772588307687606	0.368151811323253
"Pfkp"	102.606082109208	0.625628084775086	0.354173337499499	1.76644602666052	0.0773210490440975	0.368151811323253
"Txndc15"	185.414758699179	-0.667486397103613	0.377888595410876	-1.76635761229539	0.0773358716792119	0.368151811323253
"Chchd10"	14.598286475481	1.57351850285766	0.891036600538926	1.76594149096226	0.0774056653568339	0.368313520653504
"Agap1"	112.751431456452	0.736173223051844	0.416946363254324	1.7656305173306	0.0774578567016286	0.368415835856993
"Leng8"	34.8740084728854	-1.08771451058171	0.616164571330045	-1.76529868998112	0.0775135795811301	0.368526931123798
"Elavl3"	3.78970826550053	-2.72028797718888	1.54112972087004	-1.76512589456335	0.0775426095809007	0.368526931123798
"Adam23"	123.915237345621	-0.857457316566071	0.486100202155286	-1.76395177941554	0.0777400980488134	0.368882697552128
"Pld1"	18.3601357534855	-1.42375402605483	0.80730660500757	-1.76358525648564	0.0778018317536017	0.368882697552128
