""	"WT1"	"WT2"	"C1"	"C2"	"C3"	"Tg197-1"	"Tg197-2"	"Tg197-3"	"Tg197-C1"	"Tg197-C3"
"Elf3"	-2.16976468432945	-2.17434697516493	-2.1741779786039	-2.17427603278701	-2.16670708677868	-2.17501491899607	-2.17539556785913	-2.17551014457604	-2.17484752581781	-2.17360540297357
"Rnpep"	6.79029809598063	7.34275507927067	7.281136198857	6.96741450504504	7.28104427828617	7.05559068566795	7.24813579663473	7.1905319622902	7.27529428172546	7.70207409952037
"Timm17a"	7.78395657918067	7.77471627659216	7.85275689824088	7.70630789554979	7.70065961666878	7.77813747210785	7.71505975465006	7.58152302387933	7.71862081509676	7.64610432123363
"Lmod1"	6.43230839925127	6.43672343172175	6.37848000838348	6.25235748934056	6.32162023822558	6.5685429271136	6.38053010981778	6.64729528613825	6.40845044392828	6.55083047419078
"Shisa4"	7.64379885033278	7.99906080688711	7.56356301410737	7.96510886334869	7.79411613589707	7.90170368455959	8.06536630630212	7.97637729914417	7.6476011172629	7.90513580737927
"Ipo9"	7.26924838709776	7.11447529357193	7.23314005278193	6.93913272976284	7.03442993063676	7.04480472632248	6.98367954688121	6.8814384998718	7.35416214732951	7.10078277132783
"Nav1"	6.55224124319902	5.941479839372	6.53445759767582	6.4289779699805	6.34268883180386	6.09042077080762	5.90625186709073	5.98572954960427	6.19402589712868	6.49000454750438
"Csrp1"	8.76693393489488	9.19965451750985	8.80450962869672	8.89216473068873	9.07564629978902	9.72354651925537	9.28598250628614	8.96221391769006	9.56333068827235	9.49650535645728
"Phlda3"	10.1791659268093	10.0709873824243	10.0490489192154	9.8828383104253	10.0518914569628	10.3150930405061	9.31849497626638	10.1776861710098	10.2355438241207	10.6034093370639
"Tnni1"	0.349718972649698	0.406029879504567	0.370883235955445	0.369911287002263	0.329098763854408	0.329095609046405	0.448162767362923	0.388510006229247	0.462092650277617	0.376789736531003
"Lad1"	-1.32585131807014	-1.34167640186766	-1.34109276699246	-1.34143140016094	-1.23330726538937	-1.3439831666452	-1.34452539404424	-1.34458945509768	-1.34340506910224	-1.33911535926003
"Tnnt2"	-1.28112779918494	-1.3448716258565	-1.34403583129344	-1.34452077106162	-1.34816906900626	-1.30709352039392	-1.31023028323824	-1.31116635079718	-1.34734716448073	-1.34120408373696
"Pkp1"	4.03965145678548	4.21710900770589	3.90391336715573	3.77733254261601	3.88406378402447	3.97649429990465	3.67406484971342	3.97027050130823	4.45315510560571	4.30795857988094
"Igfn1"	-2.17014891657318	-2.17423927485469	-2.17408842094607	-2.17417594850692	-2.17483443568678	-2.17483551147069	-2.17517529571514	-2.16786270423258	-2.17468608881343	-2.17357731426267
"Tmem9"	7.20918974692042	6.95880556907475	6.96764999686481	6.9918000544337	6.74363132741828	6.96684728199987	7.02668123807094	6.63558019707954	6.61978788803132	6.83333556027686
"Cacna1s"	0	0	0	0	0	0	0	0	0	0
"Kif21b"	4.14857276855997	3.8975971171804	4.23513798272103	4.1532592211602	3.96226135153783	4.50260381165168	4.36176473092961	4.49267295656588	4.20804357209099	4.39133120528639
